filename,species_code,0:00,0:30,comments
2019-04-16_rec1_a24.wav,no birds,,,
2019-04-16_rec1_a31.wav,GCKI,C,S,
2019-04-16_rec1_a35.wav,passerine sp.,C,C,
2019-04-16_rec1_a45.wav,no birds,,,
2019-04-16_rec1_b19.wav,bird sp.,C,,
2019-04-16_rec1_b28.wav,no birds,,,
2019-04-16_rec1_d5.wav,no birds,,,
2019-04-16_rec1_d16.wav,no birds,,,
2019-04-16_rec1_e2.wav,GCKI,C,C,
2019-04-16_rec1_e5.wav,no birds,,,
2019-04-16_rec1_e33.wav,no birds,,,
2019-04-16_rec2_a11.wav,no birds,,,
2019-04-16_rec2_a36.wav,no birds,,,
2019-04-16_rec2_a49.wav,passerine sp.,C,,
2019-04-16_rec2_b1.wav,passerine sp.,C,C,
2019-04-16_rec2_b36.wav,no birds,,,
2019-04-16_rec2_c13.wav,no birds,,,
2019-04-16_rec2_d1.wav,no birds,,,
2019-04-16_rec2_d10.wav,AMCR,C,C,
2019-04-16_rec2_d35.wav,no birds,,,
2019-04-16_rec2_e15.wav,HAWO,,C,
2019-04-16_rec2_e1.wav,no birds,,,
2019-04-17_rec1_a36.wav,WIWR,S,S,
2019-04-17_rec1_b47.wav,AMRO,C,,
2019-04-17_rec1_c15.wav,passerine sp.,,C,
2019-04-17_rec1_c26.wav,AMRO,C,C,
2019-04-17_rec1_c26.wav,BCCH,,C,
2019-04-17_rec1_c34.wav,AMRO,C,C,
2019-04-17_rec1_c41.wav,WIWR,S,S,
2019-04-17_rec1_d45.wav,no birds,,,
2019-04-17_rec1_d50.wav,no birds,,,
2019-04-17_rec1_e36.wav,no birds,,,
2019-04-17_rec1_e48.wav,no birds,,,
2019-04-17_rec1_e51.wav,no birds,,,
2019-04-17_rec2_a7.wav,bird sp.,,C,
2019-04-17_rec2_a9.wav,woodpecker sp.,,D,
2019-04-17_rec2_a27.wav,no birds,,,
2019-04-17_rec2_a55.wav,passerine sp.,C,,
2019-04-17_rec2_a55.wav,BCCH,,C,
2019-04-17_rec2_b13.wav,no birds,,,
2019-04-17_rec2_b24.wav,no birds,,,vehicle noise
2019-04-17_rec2_b25.wav,no birds,,,
2019-04-17_rec2_b40.wav,no birds,,,
2019-04-17_rec2_c18.wav,BCCH,S,S,
2019-04-17_rec2_c18.wav,BRCR,S,S,
2019-04-17_rec2_e13.wav,YBSA,D,D,
2019-04-17_rec2_e13.wav,BCCH,,S,
2019-04-17_rec2_e27.wav,no birds,,,
