filename,species_code,0:00,0:30,comments
day65_rec3_lateApr_c31.wav,no birds,,,
day65_rec3_lateApr_c39.wav,passerine sp.,,C,
day65_rec3_lateApr_c40.wav,no birds,,,
day65_rec3_lateApr_c42.wav,no birds,,,
day65_rec3_lateApr_c45.wav,passerine sp.,,C,
day34_rec1_earlyApr_a0.wav,no birds,,,
day34_rec1_earlyApr_a16.wav,no birds,,,
day34_rec1_earlyApr_a18.wav,no birds,,,
day34_rec1_earlyApr_a22.wav,no birds,,,
day34_rec1_earlyApr_a47.wav,passerine sp.,,C,
day34_rec1_earlyApr_b6.wav,no birds,,,
day34_rec1_earlyApr_b13.wav,no birds,,,
day34_rec1_earlyApr_b27.wav,no birds,,,
day34_rec1_earlyApr_b30.wav,HAWO,,D,
day34_rec1_earlyApr_c6.wav,no birds,,,
day34_rec1_earlyApr_c9.wav,no birds,,,
day34_rec1_earlyApr_c21.wav,no birds,,,
day34_rec1_earlyApr_c24.wav,no birds,,,
day34_rec1_earlyApr_c42.wav,no birds,,,
day34_rec1_earlyApr_d33.wav,no birds,,,
day34_rec1_earlyApr_d37.wav,no birds,,,
day34_rec1_earlyApr_d39.wav,no birds,,,
day34_rec1_earlyApr_d41.wav,no birds,,,
day34_rec1_earlyApr_d49.wav,no birds,,,
day34_rec1_earlyApr_d51.wav,no birds,,,
day34_rec1_earlyApr_e11.wav,no birds,,,
day34_rec1_earlyApr_e40.wav,no birds,,,
day34_rec1_earlyApr_e41.wav,passerine sp.,C,,
day34_rec1_earlyApr_e49.wav,no birds,,,
day34_rec2_earlyApr_a1.wav,no birds,,,
day34_rec2_earlyApr_a17.wav,no birds,,,
day34_rec2_earlyApr_a24.wav,no birds,,,
day34_rec2_earlyApr_a32.wav,HAWO,C,C,
day34_rec2_earlyApr_a32.wav,bird sp.,C,,
day34_rec2_earlyApr_a33.wav,no birds,,,
day34_rec2_earlyApr_a35.wav,no birds,,,
day34_rec2_earlyApr_a41.wav,no birds,,,
day34_rec2_earlyApr_a52.wav,bird sp.,C,,
day34_rec2_earlyApr_b0.wav,no birds,,,
day34_rec2_earlyApr_b5.wav,no birds,,,
day34_rec2_earlyApr_b8.wav,passerine sp.,C,,
day34_rec2_earlyApr_b30.wav,woodpecker sp.,D,,
day34_rec2_earlyApr_b35.wav,no birds,,,
day34_rec2_earlyApr_b42.wav,no birds,,,
day34_rec2_earlyApr_c5.wav,no birds,,,
day34_rec2_earlyApr_c16.wav,AMRO,S,S,
day34_rec2_earlyApr_c16.wav,BCCH,,C,
day34_rec2_earlyApr_c48.wav,no birds,,,
day34_rec2_earlyApr_d5.wav,HAWO,D,D,
day34_rec2_earlyApr_d5.wav,BRCR,,S,
day34_rec2_earlyApr_d26.wav,HETH,,C,
day34_rec2_earlyApr_d35.wav,no birds,,,
day34_rec2_earlyApr_d36.wav,no birds,,,
day34_rec2_earlyApr_d42.wav,no birds,,,
day34_rec2_earlyApr_d45.wav,no birds,,,
day34_rec2_earlyApr_e22.wav,CORA,C,C,
day34_rec2_earlyApr_e22.wav,DOWO,D,D,
day44_rec1_earlyApr_a19.wav,no birds,,,windy day
day44_rec1_earlyApr_a30.wav,no birds,,,
day44_rec1_earlyApr_a36.wav,no birds,,,
day44_rec1_earlyApr_b3.wav,no birds,,,
day44_rec1_earlyApr_b6.wav,BRCR,C,,insanely loud wind
day44_rec1_earlyApr_b8.wav,BRCR,C,,
day44_rec1_earlyApr_b32.wav,HAWO,,C,
day44_rec1_earlyApr_b40.wav,no birds,,,
day44_rec1_earlyApr_b42.wav,no birds,,,
day44_rec1_earlyApr_c8.wav,passerine sp.,C,,
day44_rec1_earlyApr_c10.wav,no birds,,,
day44_rec1_earlyApr_c22.wav,no birds,,,
day44_rec1_earlyApr_c26.wav,bird sp.,C,C,
day44_rec1_earlyApr_c22.wav,no birds,,,
day44_rec1_earlyApr_c53.wav,passerine sp.,C,C,suspect BCCH but unsure-- too faint
day44_rec1_earlyApr_c57.wav,no birds,,,
day44_rec1_earlyApr_d0.wav,no birds,,,
day44_rec1_earlyApr_d48.wav,bird sp.,C,,
day44_rec1_earlyApr_d58.wav,bird sp.,C,,
day44_rec1_earlyApr_e5.wav,no birds,,,
day44_rec1_earlyApr_e10.wav,passerine sp.,,C,
day44_rec1_earlyApr_e32.wav,no birds,,,
day44_rec1_earlyApr_e38.wav,bird sp.,C,,
day44_rec1_earlyApr_e43.wav,no birds,,,
day34_rec4_earlyApr_a32.wav,passerine sp.,C,C,
day34_rec4_earlyApr_a32.wav,DOWO,D,D,
day34_rec4_earlyApr_a32.wav,BRCR,S,S,
day34_rec4_earlyApr_a32.wav,WIWR,S,,
day34_rec4_earlyApr_a36.wav,no birds,,,
day34_rec4_earlyApr_a56.wav,passerine sp.,C,,
day34_rec4_earlyApr_b11.wav,no birds,,,
day34_rec4_earlyApr_b18.wav,DOWO,D,D,
day34_rec4_earlyApr_b24.wav,no birds,,,
day34_rec4_earlyApr_b29.wav,no birds,,,
day34_rec4_earlyApr_b36.wav,DOWO,D,D,
day34_rec4_earlyApr_c1.wav,no birds,,,
day34_rec4_earlyApr_c5.wav,bird sp.,C,,
day34_rec4_earlyApr_c5.wav,AMRO,,C,
day34_rec4_earlyApr_c14.wav,no birds,,,
day34_rec4_earlyApr_c44.wav,no birds,,,
day34_rec4_earlyApr_c56.wav,no birds,,,
day34_rec4_earlyApr_d10.wav,no birds,,,
day34_rec4_earlyApr_d33.wav,passerine sp.,C,,
