anon_file_name,species_code,minute_half,minute_detected,det_code,comments
f33_early_Apr.wav,no birds,NA,NA,NA,
f38_late_May.wav,AMRO,1,0,s,
f38_late_May.wav,YRWA,1,0,s,
f38_late_May.wav,NOPA,1,0,s,
f38_late_May.wav,YRWA,2,0,s,
f38_late_May.wav,AMRO,2,0,s,
f38_late_May.wav,YRWA,1,1,s,
f38_late_May.wav,NOPA,1,1,s,
f38_late_May.wav,YRWA,2,1,s,
f38_late_May.wav,NOPA,1,2,s,
f38_late_May.wav,YRWA,1,3,s,
f38_late_May.wav,NOPA,1,3,s,
f38_late_May.wav,YRWA,2,3,s,
f38_late_May.wav,YRWA,1,4,s,
f38_late_May.wav,NOPA,1,4,s,
f38_late_May.wav,YRWA,1,5,s,
f38_late_May.wav,NOPA,1,5,s,
f38_late_May.wav,pass sp,2,5,c,
f38_late_May.wav,NOPA,1,6,s,
f41_late_Apr.wav,HAWO,1,1,c,
f41_late_Apr.wav,WIWR,2,2,s,
f41_late_Apr.wav,WIWR,1,3,s,
f41_late_Apr.wav,WIWR,2,3,s,
f41_late_Apr.wav,YBSA,1,4,c,
f41_late_Apr.wav,WIWR,1,4,s,
f41_late_Apr.wav,YBSA,2,4,c,
f41_late_Apr.wav,WIWR,2,4,s,
f41_late_Apr.wav,WIWR,1,5,s,
f41_late_Apr.wav,WIWR,2,6,s,
f41_late_Apr.wav,WIWR,1,7,s,
f41_late_Apr.wav,GCKI,2,7,c,
f41_late_Apr.wav,WIWR,2,7,s,
f41_late_Apr.wav,WIWR,1,8,s,
f41_late_Apr.wav,GCKI,1,8,c,
f41_late_Apr.wav,GCKI,2,8,c,
f41_late_Apr.wav,WIWR,2,8,s,
f41_late_Apr.wav,WIWR,1,9,s,
f41_late_Apr.wav,WIWR,2,9,s,
f43_early_Apr.wav,HAWO,1,0,d,
f43_early_Apr.wav,HAWO,1,1,d,
f43_early_Apr.wav,CORA,2,1,c,
f43_early_Apr.wav,HAWO,2,1,d,
f43_early_Apr.wav,HAWO,1,2,d,
f43_early_Apr.wav,HAWO,2,2,d,
f43_early_Apr.wav,CORA,2,2,c,
f43_early_Apr.wav,CORA,1,3,c,
f43_early_Apr.wav,HAWO,1,3,d,
f43_early_Apr.wav,HAWO,2,3,d,
f43_early_Apr.wav,HAWO,1,4,d,
f43_early_Apr.wav,HAWO,2,4,d,
f43_early_Apr.wav,HAWO,1,5,d,
f43_early_Apr.wav,HAWO,2,5,d,
f43_early_Apr.wav,HAWO,1,6,d,
f43_early_Apr.wav,AMRO,1,6,c,
f43_early_Apr.wav,HAWO,1,7,d,
f43_early_Apr.wav,HAWO,2,7,d,
f43_early_Apr.wav,HAWO,1,8,d,
f43_early_Apr.wav,HAWO,2,8,d,
f43_early_Apr.wav,pass sp,2,8,c,
f43_early_Apr.wav,HAWO,1,9,d,
f46_late_Apr.wav,pass sp,1,0,NA,too distant to ID
f46_late_Apr.wav,pass sp,2,1,NA,
f46_late_Apr.wav,DOWO,1,3,c,
f46_late_Apr.wav,pass sp,1,5,s,too distant to ID
f46_late_Apr.wav,bird sp.,2,7,c,may be DOWO
f47_early_Apr.wav,no birds,NA,NA,NA,
f49_late_Apr.wav,pass sp,2,1,c,"very high, soft chip"
f49_late_Apr.wav,pass sp,1,3,c,same chip note
f49_late_Apr.wav,pass sp,1,4,c,same chip note
f49_late_Apr.wav,pass sp,2,5,c,same chip note
f49_late_Apr.wav,pass sp,1,6,c,same chip note
f49_late_Apr.wav,pass sp,1,8,c,same chip note
f49_late_Apr.wav,WIWR,1,8,s,
f49_late_Apr.wav,WIWR,2,8,s,
f56_early_Apr.wav,no birds,NA,NA,NA,
f57_late_Apr.wav,BCCH,1,0,s,
f57_late_Apr.wav,BCCH,2,0,c,
f57_late_Apr.wav,DOWO,2,0,c,
f57_late_Apr.wav,pass sp,1,1,c,"high, soft chip note"
f57_late_Apr.wav,BCCH,2,2,s,
f57_late_Apr.wav,pass sp,1,3,c,"high, soft chip note"
f57_late_Apr.wav,DOWO,2,3,c,
f57_late_Apr.wav,PIWO,2,4,d,
f57_late_Apr.wav,pass sp,1,5,c,"high, soft chip note"
f57_late_Apr.wav,PIWO,2,5,d,
f57_late_Apr.wav,pass sp,2,6,c,"high, soft chip note"
f57_late_Apr.wav,bird sp.,1,7,c,distant call
f57_late_Apr.wav,pass sp,2,7,c,"high, soft chip note"
f57_late_Apr.wav,pass sp,1,9,c,"high, soft chip note"
f58_early_Apr.wav,no birds,NA,NA,NA,
