"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f100_late_Apr","no birds","NA",,,,,,,,,,,,,,,,,,,,,
"f101_late_Apr","no birds","NA",,,,,,,,,,,,,,,,,,,,,
"f102_late_Apr","HAWO","Hairy Woodpecker",,,,,,,"C",,,,,,,,,,,,,"C",
"f102_late_Apr","passerine sp.","passerine sp.","C",,"S",,,,,,,,"S",,,,"S","C",,,,,"white noise too loud!!"
"f103_early_Apr","bird sp.","bird sp.",,"C",,,,,,,,,,"C",,,,,"C",,,,"probably birds and not a tree creaking??"
"f104_early_May","passerine sp.","passerine sp.",,,,"S",,,,"C",,,,,,"C",,,,,,,
"f106_late_Apr","BCCH","Black-capped Chickadee","S","S","S","S","S","C","C","C","C",,,,,,,,,,,"C",
"f106_late_Apr","BRCR","Brown Creeper",,,,,,,,,,,,,,,,,"S","S",,,
"f106_late_Apr","GCKI","Golden-crowned Kinglet",,,,,,,,,"C","C","C",,"C","C","C",,"C","C","C","C",
"f106_late_Apr","HAWO","Hairy Woodpecker",,,,,,,,,,,,"C","C","C","C",,,,,,
"f107_early_May","bird sp.","bird sp.",,,"C",,,,,,,,,,"C",,,,"C",,"C","S",
"f107_early_May","BRCR","Brown Creeper",,,,,,,,,,,,,,,,,,,"C",,
"f107_early_May","passerine sp.","passerine sp.",,,,,,"C","C","C","C","C","C","C","C","C","C","C","C",,,,
"f107_early_May","RCKI","Ruby-crowned Kinglet","S","S","S","S",,,,,"S",,,,,"S",,,"S","S","S","S",
"f107_early_May","WIWR","Winter Wren",,,,,,,,,"S","S","S",,,,,,,,,,
"f107_early_May","YRWA","Yellow-rumped Warbler","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f108_early_May","bird sp.","bird sp.",,,,,,,,,"C",,,,,,,,,,,,
"f108_early_May","BRCR","Brown Creeper",,,,,,,,,,,,,,,,,,"C",,,
"f108_early_May","PIWO","Pileated Woodpecker",,"D","D",,,,,,,,,,,,,,,,,,
