date,point_id,lat,long,start_time,end_time,aru_sample,aru_id,cloud_cover,wind,rain,noise,ct_bearing,species_code,species_common_name,count,det_code,rel_bearing,distance,minute_detected,comments
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,BCCH,Black-capped Chickadee,1,S,0,2,6,
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,DOWO,Downy Woodpecker,1,C,240,3,6,
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,passerine sp.,passerine sp.,1,C,320,2,9,
04/02/2019,p17,46.95916,-88.141936,10:30,10:40,TRUE,swift01,0-33,2,Dry,0,190,no birds,NA,NA,NA,NA,NA,NA,no birds
04/02/2019,FB1,46.952963,-88.150066,11:03,11:13,TRUE,swift03,0-33,3,Dry,0,220,HAWO,Hairy Woodpecker,1,V,0,1,9,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,BCCH,Black-capped Chickadee,2,C,45,3,2,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,woodpecker sp.,woodpecker sp.,1,C,0,3,4,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,DOWO,Downy Woodpecker,1,D,260,2,5,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,WBNU,White-breasted Nuthatch,1,S,300,2,5,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,HAWO,Hairy Woodpecker,2,D,280,2,8,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,PIGR,Pine Grosbeak,1,C,240,1,0,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,HAWO,Hairy Woodpecker,2,C,270,1,0,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,DOWO,Downy Woodpecker,2,S,270,2,5,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,CORA,Common Raven,1,C,320,3,8,
04/04/2019,p5,46.96031,-88.16166,12:03,12:13,TRUE,swift01,0-33,3,Dry,0,0,WBNU,White-breasted Nuthatch,1,S,45,3,3,
04/04/2019,p5,46.96031,-88.16166,12:03,12:13,TRUE,swift01,0-33,3,Dry,0,0,AMCR,American Crow,4,C,120,1,4,
04/05/2019,FB2,46.949871,-88.149663,09:56,10:06,TRUE,swift01,66-100,1,Dry,1,140,HAWO,Hairy Woodpecker,1,D,45,1,0,"irregular pecking, not full drum"
