"original_name","anon_name","date","month","day","wk_half"
"AM_20190419_0941_p14.wav","f57_late_Apr.wav","2019-04-19","Apr",19,"late"
"AM_20190420_1034_p11.wav","f113_late_Apr.wav","2019-04-20","Apr",20,"late"
"AM_20190421_0927_p6.wav","f41_late_Apr.wav","2019-04-21","Apr",21,"late"
"AM_20190423_1115_p9.wav","f164_late_Apr.wav","2019-04-23","Apr",23,"late"
"AM_20190424_1113_p18.wav","f49_late_Apr.wav","2019-04-24","Apr",24,"late"
"AM_20190425_0920_p15.wav","f59_late_Apr.wav","2019-04-25","Apr",25,"late"
"AM_20190425_0920_p15.wav","f111_late_Apr.wav","2019-04-25","Apr",25,"late"
"AM_20190426_1022_p15.wav","f46_late_Apr.wav","2019-04-26","Apr",26,"late"
"AM_20190427_1036_p12.wav","f88_late_Apr.wav","2019-04-27","Apr",27,"late"
"AM_20190427_1036_p12.wav","f146_late_Apr.wav","2019-04-27","Apr",27,"late"
"AM_20190428_1126_p17.wav","f35_late_Apr.wav","2019-04-28","Apr",28,"late"
"AM_20190430_0901_p9.wav","f37_late_Apr.wav","2019-04-30","Apr",30,"late"
"AM_20190503_0928_p5.wav","f130_early_May.wav","2019-05-03","May",3,"early"
"AM_20190504_0936_p12.wav","f114_early_May.wav","2019-05-04","May",4,"early"
"AM_20190504_0936_p12.wav","f172_early_May.wav","2019-05-04","May",4,"early"
"AM_20190505_0910_p14.wav","f53_early_May.wav","2019-05-05","May",5,"early"
"AM_20190506_1037_p18.wav","f67_early_May.wav","2019-05-06","May",6,"early"
"AM_20190507_1057_p9.wav","f181_early_May.wav","2019-05-07","May",7,"early"
"AM_20190508_1001_p4.wav","f124_early_May.wav","2019-05-08","May",8,"early"
"AM_20190511_0851_p9.wav","f118_early_May.wav","2019-05-11","May",11,"early"
"AM_20190512_0827_p8.wav","f94_early_May.wav","2019-05-12","May",12,"early"
"AM_20190513_1030_p5.wav","f79_early_May.wav","2019-05-13","May",13,"early"
"AM_20190514_0831_p15.wav","f55_early_May.wav","2019-05-14","May",14,"early"
"AM_20190515_1015_p17.wav","f152_early_May.wav","2019-05-15","May",15,"early"
"AM_20190517_0844_p11.wav","f149_late_May.wav","2019-05-17","May",17,"late"
"AM_20190520_1109_p6.wav","f153_late_May.wav","2019-05-20","May",20,"late"
"AM_20190522_0953_p12.wav","f71_late_May.wav","2019-05-22","May",22,"late"
"SWIFT01_20190402_1030_p17.wav","f144_early_Apr.wav","2019-04-02","Apr",2,"early"
"SWIFT01_20190404_1203_p5.wav","f122_early_Apr.wav","2019-04-04","Apr",4,"early"
"SWIFT01_20190405_0996_FB2.wav","f33_early_Apr.wav","2019-04-05","Apr",5,"early"
"SWIFT01_20190405_0996_FB2.wav","f155_early_Apr.wav","2019-04-05","Apr",5,"early"
"SWIFT01_20190406_1056_p4.wav","f43_early_Apr.wav","2019-04-06","Apr",6,"early"
"SWIFT01_20190408_1024_p6.wav","f69_early_Apr.wav","2019-04-08","Apr",8,"early"
"SWIFT01_20190409_1200_p1.wav","f58_early_Apr.wav","2019-04-09","Apr",9,"early"
"SWIFT01_20190410_1119_p6.wav","f160_early_Apr.wav","2019-04-10","Apr",10,"early"
"SWIFT01_20190413_0954_p9.wav","f68_early_Apr.wav","2019-04-13","Apr",13,"early"
"SWIFT01_20190414_1025_p14.wav","f99_early_Apr.wav","2019-04-14","Apr",14,"early"
"SWIFT01_20190415_1128_FB2.wav","f91_early_Apr.wav","2019-04-15","Apr",15,"early"
"SWIFT01_20190416_1102_p3.wav","f100_late_Apr.wav","2019-04-16","Apr",16,"late"
"SWIFT01_20190416_1102_p3.wav","f154_late_Apr.wav","2019-04-16","Apr",16,"late"
"SWIFT01_20190417_1040_p10.wav","f54_late_Apr.wav","2019-04-17","Apr",17,"late"
"SWIFT01_20190419_1005_p12.wav","f180_late_Apr.wav","2019-04-19","Apr",19,"late"
"SWIFT01_20190420_1100_p10.wav","f167_late_Apr.wav","2019-04-20","Apr",20,"late"
"SWIFT01_20190421_1012_p13.wav","f30_late_Apr.wav","2019-04-21","Apr",21,"late"
"SWIFT01_20190423_0945_FB1.wav","f39_late_Apr.wav","2019-04-23","Apr",23,"late"
"SWIFT01_20190424_0953_FB2.wav","f98_late_Apr.wav","2019-04-24","Apr",24,"late"
"SWIFT01_20190425_1019_p17.wav","f64_late_Apr.wav","2019-04-25","Apr",25,"late"
"SWIFT01_20190426_1105_p13.wav","f44_late_Apr.wav","2019-04-26","Apr",26,"late"
"SWIFT01_20190426_1105_p13.wav","f159_late_Apr.wav","2019-04-26","Apr",26,"late"
"SWIFT01_20190427_1012_p14.wav","f128_late_Apr.wav","2019-04-27","Apr",27,"late"
"SWIFT01_20190428_0950_FB2.wav","f42_late_Apr.wav","2019-04-28","Apr",28,"late"
"SWIFT01_20190428_0950_FB2.wav","f133_late_Apr.wav","2019-04-28","Apr",28,"late"
"SWIFT01_20190430_1058_FB1.wav","f136_late_Apr.wav","2019-04-30","Apr",30,"late"
"SWIFT01_20190503_0845_p3.wav","f120_early_May.wav","2019-05-03","May",3,"early"
"SWIFT01_20190503_0845_p3.wav","f158_early_May.wav","2019-05-03","May",3,"early"
"SWIFT01_20190504_1045_p5.wav","f169_early_May.wav","2019-05-04","May",4,"early"
"SWIFT01_20190506_0930_p3.wav","f125_early_May.wav","2019-05-06","May",6,"early"
"SWIFT01_20190506_0930_p3.wav","f135_early_May.wav","2019-05-06","May",6,"early"
"SWIFT01_20190507_1018_p1.wav","f50_early_May.wav","2019-05-07","May",7,"early"
"SWIFT01_20190507_1018_p1.wav","f139_early_May.wav","2019-05-07","May",7,"early"
"SWIFT01_20190508_0920_p1.wav","f34_early_May.wav","2019-05-08","May",8,"early"
"SWIFT01_20190511_1010_p12.wav","f48_early_May.wav","2019-05-11","May",11,"early"
"SWIFT01_20190512_1013_p3.wav","f40_early_May.wav","2019-05-12","May",12,"early"
"SWIFT01_20190512_1013_p3.wav","f45_early_May.wav","2019-05-12","May",12,"early"
"SWIFT01_20190513_0918_p12.wav","f112_early_May.wav","2019-05-13","May",13,"early"
"SWIFT01_20190514_0942_p14.wav","f110_early_May.wav","2019-05-14","May",14,"early"
"SWIFT01_20190515_0846_p2.wav","f119_early_May.wav","2019-05-15","May",15,"early"
"SWIFT01_20190517_1025_p8.wav","f157_late_May.wav","2019-05-17","May",17,"late"
"SWIFT01_20190517_1025_p8.wav","f183_late_May.wav","2019-05-17","May",17,"late"
"SWIFT01_20190520_0959_p14.wav","f117_late_May.wav","2019-05-20","May",20,"late"
"SWIFT01_20190521_1002_FB2.wav","f109_late_May.wav","2019-05-21","May",21,"late"
"SWIFT01_20190522_1041_p13.wav","f62_late_May.wav","2019-05-22","May",22,"late"
"SWIFT02_20190402_0950_p9.wav","f70_early_Apr.wav","2019-04-02","Apr",2,"early"
"SWIFT02_20190404_0941_p15.wav","f131_early_Apr.wav","2019-04-04","Apr",4,"early"
"SWIFT02_20190404_0941_p15.wav","f161_early_Apr.wav","2019-04-04","Apr",4,"early"
"SWIFT02_20190405_1110_p11.wav","f56_early_Apr.wav","2019-04-05","Apr",5,"early"
"SWIFT02_20190406_1132_p12.wav","f84_early_Apr.wav","2019-04-06","Apr",6,"early"
"SWIFT02_20190406_1132_p12.wav","f174_early_Apr.wav","2019-04-06","Apr",6,"early"
"SWIFT02_20190408_1130_p8.wav","f60_early_Apr.wav","2019-04-08","Apr",8,"early"
"SWIFT02_20190409_1107_p18.wav","f162_early_Apr.wav","2019-04-09","Apr",9,"early"
"SWIFT02_20190410_1040_p12.wav","f73_early_Apr.wav","2019-04-10","Apr",10,"early"
"SWIFT02_20190410_1040_p12.wav","f85_early_Apr.wav","2019-04-10","Apr",10,"early"
"SWIFT02_20190413_1128_p11.wav","f132_early_Apr.wav","2019-04-13","Apr",13,"early"
"SWIFT02_20190414_1108_p15.wav","f47_early_Apr.wav","2019-04-14","Apr",14,"early"
"SWIFT02_20190414_1108_p15.wav","f145_early_Apr.wav","2019-04-14","Apr",14,"early"
"SWIFT02_20190415_1019_p18.wav","f178_early_Apr.wav","2019-04-15","Apr",15,"early"
"SWIFT02_20190417_0954_p17.wav","f106_late_Apr.wav","2019-04-17","Apr",17,"late"
"SWIFT02_20190419_1042_p1.wav","f76_late_Apr.wav","2019-04-19","Apr",19,"late"
"SWIFT02_20190420_0940_p2.wav","f78_late_Apr.wav","2019-04-20","Apr",20,"late"
"SWIFT02_20190421_1105_p3.wav","f121_late_Apr.wav","2019-04-21","Apr",21,"late"
"SWIFT02_20190423_1026_p4.wav","f65_late_Apr.wav","2019-04-23","Apr",23,"late"
"SWIFT02_20190424_1031_p8.wav","f80_late_Apr.wav","2019-04-24","Apr",24,"late"
"SWIFT02_20190425_1047_p18.wav","f175_late_Apr.wav","2019-04-25","Apr",25,"late"
"SWIFT02_20190426_0941_p6.wav","f148_late_Apr.wav","2019-04-26","Apr",26,"late"
"SWIFT02_20190427_0934_p4.wav","f185_late_Apr.wav","2019-04-27","Apr",27,"late"
"SWIFT02_20190428_1035_p1.wav","f184_late_Apr.wav","2019-04-28","Apr",28,"late"
"SWIFT02_20190430_0938_p8.wav","f173_late_Apr.wav","2019-04-30","Apr",30,"late"
"SWIFT02_20190503_1033_p4.wav","f52_early_May.wav","2019-05-03","May",3,"early"
"SWIFT02_20190504_0904_FB2.wav","f104_early_May.wav","2019-05-04","May",4,"early"
"SWIFT02_20190505_0943_FB1.wav","f72_early_May.wav","2019-05-05","May",5,"early"
"SWIFT02_20190505_0943_FB1.wav","f142_early_May.wav","2019-05-05","May",5,"early"
"SWIFT02_20190506_1005_p15.wav","f93_early_May.wav","2019-05-06","May",6,"early"
"SWIFT02_20190506_1005_p15.wav","f141_early_May.wav","2019-05-06","May",6,"early"
