filecode,minute,selec,start,end,sound.files,anon_name,date,month,day,wk_half,folder
a,1,a1,60,120,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a1.wav,2019-04-02,Apr,2,early,NA
a,5,a5,300,360,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a5.wav,2019-04-02,Apr,2,early,NA
a,10,a10,600,660,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a10.wav,2019-04-02,Apr,2,early,NA
a,30,a30,1800,1860,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a30.wav,2019-04-02,Apr,2,early,NA
a,31,a31,1860,1920,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a31.wav,2019-04-02,Apr,2,early,NA
a,34,a34,2040,2100,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a34.wav,2019-04-02,Apr,2,early,NA
a,57,a57,3420,3480,SWIFT01_20190402_072000.wav,day250_rec2_earlyApr_a57.wav,2019-04-02,Apr,2,early,NA
b,18,b18,1080,1140,SWIFT01_20190402_082000.wav,day250_rec2_earlyApr_b18.wav,2019-04-02,Apr,2,early,NA
c,1,c1,60,120,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c1.wav,2019-04-02,Apr,2,early,NA
c,10,c10,600,660,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c10.wav,2019-04-02,Apr,2,early,NA
c,12,c12,720,780,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c12.wav,2019-04-02,Apr,2,early,NA
c,14,c14,840,900,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c14.wav,2019-04-02,Apr,2,early,NA
c,27,c27,1620,1680,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c27.wav,2019-04-02,Apr,2,early,NA
c,33,c33,1980,2040,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c33.wav,2019-04-02,Apr,2,early,NA
c,44,c44,2640,2700,SWIFT01_20190402_092001.wav,day250_rec2_earlyApr_c44.wav,2019-04-02,Apr,2,early,NA
d,1,d1,60,120,SWIFT01_20190402_102001.wav,day250_rec2_earlyApr_d1.wav,2019-04-02,Apr,2,early,NA
d,2,d2,120,180,SWIFT01_20190402_102001.wav,day250_rec2_earlyApr_d2.wav,2019-04-02,Apr,2,early,NA
d,16,d16,960,1020,SWIFT01_20190402_102001.wav,day250_rec2_earlyApr_d16.wav,2019-04-02,Apr,2,early,NA
d,23,d23,1380,1440,SWIFT01_20190402_102001.wav,day250_rec2_earlyApr_d23.wav,2019-04-02,Apr,2,early,NA
d,40,d40,2400,2460,SWIFT01_20190402_102001.wav,day250_rec2_earlyApr_d40.wav,2019-04-02,Apr,2,early,NA
e,4,e4,240,300,SWIFT01_20190402_112002.wav,day250_rec2_earlyApr_e4.wav,2019-04-02,Apr,2,early,NA
